datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,city
2023-01-01,1672511400,30.9,19.0,24.8,30.0,19.0,24.8,17.1,65.9,0.0,0.0,0.0,,0.0,0.0,20.5,10.8,130.0,1017.8,46.0,5.5,162.0,13.9,7.0,10.0,06:46:17,1672535777,17:52:45,1672575765,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['VOHY', '43083099999', '43128599999', 'VOHS', '43128099999']",obs,Hyderabad
2023-01-02,1672597800,29.5,19.0,23.9,29.1,19.0,24.0,17.0,67.3,0.0,0.0,0.0,,0.0,0.0,27.4,14.4,113.4,1018.1,32.1,5.3,186.3,16.2,7.0,10.0,06:46:38,1672622198,17:53:21,1672662201,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['VOHY', '43083099999', '43128599999', 'VOHS', '43128099999']",obs,Hyderabad
2023-01-03,1672684200,28.8,18.0,23.2,28.8,18.0,23.3,16.4,67.5,0.0,0.0,0.0,,0.0,0.0,25.9,14.6,117.8,1018.3,36.0,4.7,185.1,16.0,7.0,10.0,06:46:58,1672708618,17:53:57,1672748637,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['VOHY', '43083099999', '43128599999', 'VOHS', '43128099999']",obs,Hyderabad
2023-01-04,1672770600,27.9,18.0,23.2,27.8,18.0,23.2,16.3,68.0,0.0,0.0,0.0,,0.0,0.0,30.6,14.9,124.0,1017.6,39.2,5.0,202.7,17.5,8.0,10.0,06:47:17,1672795037,17:54:34,1672835074,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['VOHY', '43083099999', '43128599999', 'VOHS', '43128099999']",obs,Hyderabad
2023-01-05,1672857000,26.6,19.0,22.3,26.6,19.0,22.3,17.3,74.1,0.0,0.0,0.0,['rain'],0.0,0.0,30.6,16.7,114.9,1018.7,36.5,4.1,141.1,12.0,6.0,10.0,06:47:35,1672881455,17:55:10,1672921510,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['VOHY', '43083099999', '43128599999', 'VOHS', '43128099999']",obs,Hyderabad
2023-01-06,1672943400,25.0,19.0,21.7,25.0,19.0,21.7,18.2,80.9,0.0,0.0,0.0,['rain'],0.0,0.0,24.1,15.7,82.8,1020.3,77.5,2.8,151.9,13.2,6.0,10.0,06:47:52,1672967872,17:55:47,1673007947,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['VOHY', '43083099999', '43128599999', 'VOHS', '43128099999']",obs,Hyderabad
2023-01-07,1673029800,28.5,17.9,21.7,27.5,17.9,21.7,13.3,63.5,0.0,0.0,0.0,,0.0,0.0,33.5,18.8,51.7,1019.6,47.5,4.0,216.0,18.6,8.0,10.0,06:48:08,1673054288,17:56:24,1673094384,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['VOHY', '43083099999', '43128599999', 'VOHS', '43128099999']",obs,Hyderabad
2023-01-08,1673116200,28.1,12.0,19.7,26.7,12.0,19.5,6.3,49.5,0.0,0.0,0.0,,0.0,0.0,27.4,16.7,54.4,1018.5,8.4,5.2,235.9,20.4,8.0,10.0,06:48:22,1673140702,17:57:01,1673180821,0.54,Clear,Clear conditions throughout the day.,clear-day,"['VOHY', '43083099999', '43128599999', 'VOHS', '43128099999']",obs,Hyderabad
2023-01-09,1673202600,29.0,12.1,19.5,27.4,12.1,19.2,5.3,46.6,0.0,0.0,0.0,,0.0,0.0,21.6,11.6,81.3,1019.2,0.2,5.3,233.9,20.4,8.0,10.0,06:48:36,1673227116,17:57:38,1673267258,0.58,Clear,Clear conditions throughout the day.,clear-day,"['VOHY', '43083099999', '43128599999', 'VOHS', '43128099999']",obs,Hyderabad
2023-01-10,1673289000,29.2,10.5,20.0,27.6,10.5,19.6,7.9,52.9,0.0,0.0,0.0,,0.0,0.0,23.4,12.8,81.3,1018.5,1.3,5.3,234.1,20.4,8.0,10.0,06:48:48,1673313528,17:58:16,1673353696,0.61,Clear,Clear conditions throughout the day.,clear-day,"['VOHY', '43083099999', '43128599999', 'VOHS', '43128099999']",obs,Hyderabad
